,year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
71,1985,AF,AF,11.915269,2.4160576,10.7787485,32.430206,Afghanistan,AFG,4.4584190452020795,2548.881288841519,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
72,1960,AF,AF,10.927568,3.735651,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
73,1952,AF,AF,10.957292,3.0798802,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
74,1977,AF,AF,11.661839,2.601424,10.7787485,32.430206,Afghanistan,AFG,4.402682988824567,2121.0975195015694,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
75,1962,AF,AF,10.693893,3.477049,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
76,2005,AF,AF,11.993439,3.6298854,10.7787485,32.430206,Afghanistan,AFG,,,,36.10207367,96900000000.0,62400000000.0,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
77,1998,AF,AF,11.261457,3.9544332,10.7787485,32.430206,Afghanistan,AFG,4.986197840649021,1047.1673690784817,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
78,1978,AF,AF,11.200299,3.1291416,10.7787485,32.430206,Afghanistan,AFG,4.952181953401198,2205.3695523066513,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
79,1989,AF,AF,10.858383,3.4117646,10.7787485,32.430206,Afghanistan,AFG,4.454049352604046,1906.918375711914,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
80,1983,AF,AF,11.426696,3.2841516,10.7787485,32.430206,Afghanistan,AFG,4.497571176729134,2529.4749265126284,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
81,2000,AF,AF,11.833452,2.825778,10.7787485,32.430206,Afghanistan,AFG,5.448543104064445,478.10434972746964,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
82,1973,AF,AF,11.09893,3.4910653,10.7787485,32.430206,Afghanistan,AFG,2.5635572300481053,2119.4361828521264,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
83,2006,AF,AF,12.711716,3.9184318,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
84,2004,AF,AF,13.133223,2.8997176,10.7787485,32.430206,Afghanistan,AFG,7.829112204437413,580.832647317713,,37.22625351,87000000000.0,53600000000.0,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
85,2002,AF,AF,12.398135,3.7647114,10.7787485,32.430206,Afghanistan,AFG,4.232123750646942,525.8540384204719,,49.82722473,89800000000.0,36200000000.0,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
86,1963,AF,AF,11.715347,3.8828022,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
87,1972,AF,AF,9.526728,4.5001106,10.7787485,32.430206,Afghanistan,AFG,2.2731276130951055,2119.625286890264,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
88,1961,AF,AF,10.775178,3.8008258,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
89,1953,AF,AF,11.372045,3.4845247,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
90,1959,AF,AF,10.920752,5.0632353,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
91,1966,AF,AF,11.247096,3.479692,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
92,1995,AF,AF,10.709713,3.9881186,10.7787485,32.430206,Afghanistan,AFG,5.25602947238469,920.7470375319184,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
93,1969,AF,AF,10.636225,3.3141649,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
94,1976,AF,AF,10.8055105,3.4607692,10.7787485,32.430206,Afghanistan,AFG,4.889307766255614,2269.601225082389,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
95,2001,AF,AF,12.247101,2.6191196,10.7787485,32.430206,Afghanistan,AFG,5.44854310422448,418.2312031137957,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
96,1975,AF,AF,10.329297,3.4256315,10.7787485,32.430206,Afghanistan,AFG,3.4123701948704506,2263.1123476846633,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
97,1957,AF,AF,9.407761,4.8301463,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
98,1981,AF,AF,11.459477,4.0148067,10.7787485,32.430206,Afghanistan,AFG,4.549225722838652,2297.6856013303486,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
99,1958,AF,AF,11.392986,3.7125342,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
100,1974,AF,AF,10.411225,3.1704917,10.7787485,32.430206,Afghanistan,AFG,3.1170677663781556,2148.019818199119,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
101,1950,AF,AF,9.765578,3.3217728,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
102,1967,AF,AF,10.542119,4.393356,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
103,1992,AF,AF,10.673532,4.042471,10.7787485,32.430206,Afghanistan,AFG,5.208725557511986,1447.2504612612295,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
104,1971,AF,AF,11.758612,2.5349274,10.7787485,32.430206,Afghanistan,AFG,1.8918495919954879,1748.382111051343,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
105,1954,AF,AF,10.628375,4.1141667,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
106,1997,AF,AF,10.895866,3.8689604,10.7787485,32.430206,Afghanistan,AFG,5.110547462208698,1029.113275242996,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
107,1986,AF,AF,11.240335,3.6837726,10.7787485,32.430206,Afghanistan,AFG,4.47877681194606,2617.033485913763,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
108,1979,AF,AF,11.330858,2.8637998,10.7787485,32.430206,Afghanistan,AFG,4.1506549115650975,2121.1022199431213,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
109,2003,AF,AF,12.305157,3.4959228,10.7787485,32.430206,Afghanistan,AFG,4.3698253836098075,588.0760454565545,,48.50016403,105000000000.0,40500000000.0,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
110,1996,AF,AF,10.730086,3.8770208,10.7787485,32.430206,Afghanistan,AFG,5.2880623662537865,939.6581614105801,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
111,1965,AF,AF,10.724018,4.367348,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
112,1987,AF,AF,12.022997,3.1657293,10.7787485,32.430206,Afghanistan,AFG,4.464703638627692,2326.325698954873,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
113,1951,AF,AF,10.768174,3.4265084,10.7787485,32.430206,Afghanistan,AFG,,,,,,,7.456518,0.0,0.0,0.0,0.0,1.0,0.0,AF
114,2002,AG,AG,17.665262,4.5952187,16.783577,47.550648,Algeria,DZA,11.698757123825793,5723.292231872144,8635.613857,10.00359821,27000000000.0,139000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
115,1979,AG,AG,16.294674,6.08309,16.783577,47.550648,Algeria,DZA,22.51268584278352,5280.652455511759,8855.879538,9.016628265,11400000000.0,88600000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
116,1968,AG,AG,16.769974,4.6317935,16.783577,47.550648,Algeria,DZA,10.548083365564517,4017.483650498054,5948.444386,10.85337448,6400000000.0,53700000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
117,2004,AG,AG,17.289848,5.551386,16.783577,47.550648,Algeria,DZA,,,9418.893457,10.18849373,33300000000.0,155000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
118,1990,AG,AG,17.418686,4.8660374,16.783577,47.550648,Algeria,DZA,14.632929763930829,5569.902461037912,8441.787553,11.35826778,17000000000.0,113000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
119,1999,AG,AG,17.781616,5.2003636,16.783577,47.550648,Algeria,DZA,10.848297961843372,5610.980770597748,8219.439452,12.20107841,25400000000.0,128000000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
120,1963,AG,AG,16.65273,5.9517674,16.783577,47.550648,Algeria,DZA,13.383761627255355,3284.258330513605,5195.839163,,6090000000.0,32300000000.0,8.268208,1.0,0.0,0.0,0.0,0.0,0.0,AG
